        股號                         名稱      收盤價        狀態                                  原因
 009801.TW                   中信美國創新科技    10.22      均線糾纏      MA5/10/20 乖離率僅 1.28%，移動平均線高度重合
   5269.TW                         祥碩  1095.00      進入盤整    ADX 指標為 17.06 (低於 20)，市場目前缺乏推升動能
   2069.TW                         運錩    18.55      均線糾纏      MA5/10/20 乖離率僅 0.20%，移動平均線高度重合
  3555.TWO                        博士旺   157.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3551.TWO                         世禾   169.50      均線糾纏      MA5/10/20 乖離率僅 1.39%，移動平均線高度重合
   5285.TW                         界霖    48.75      均線糾纏      MA5/10/20 乖離率僅 0.47%，移動平均線高度重合
   6243.TW                         迅杰    28.85      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3229.TW                         晟鈦    19.60      均線糾纏      MA5/10/20 乖離率僅 0.87%，移動平均線高度重合
  3570.TWO                         大塚   167.50      均線糾纏      MA5/10/20 乖離率僅 1.07%，移動平均線高度重合
   9941.TW                         裕融    76.80      均線糾纏      MA5/10/20 乖離率僅 0.57%，移動平均線高度重合
  2949.TWO                        欣新網    60.00      均線糾纏      MA5/10/20 乖離率僅 1.38%，移動平均線高度重合
   1301.TW                         台塑    46.65      均線糾纏      MA5/10/20 乖離率僅 0.31%，移動平均線高度重合
  3207.TWO                         耀勝    67.00      進入盤整    ADX 指標為 17.45 (低於 20)，市場目前缺乏推升動能
  6470.TWO                         宇智    47.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6202.TW                         盛群    47.70      進入盤整    ADX 指標為 12.15 (低於 20)，市場目前缺乏推升動能
 912000.TW                     晨訊科-DR     2.51      均線糾纏      MA5/10/20 乖離率僅 0.70%，移動平均線高度重合
   4766.TW                         南寶   314.50      均線糾纏      MA5/10/20 乖離率僅 1.23%，移動平均線高度重合
   1101.TW                         台泥    23.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3067.TWO                         全域    17.70      均線糾纏      MA5/10/20 乖離率僅 0.48%，移動平均線高度重合
   3504.TW                        揚明光    53.10      進入盤整    ADX 指標為 11.32 (低於 20)，市場目前缺乏推升動能
   2903.TW                         遠百    22.95      均線糾纏      MA5/10/20 乖離率僅 0.20%，移動平均線高度重合
   5521.TW                         工信    12.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4939.TWO                         亞電    28.30      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6669.TW                         緯穎  3420.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8401.TWO                        白紗科    25.00      均線糾纏      MA5/10/20 乖離率僅 0.96%，移動平均線高度重合
   2421.TW                         建準   128.00      進入盤整    ADX 指標為 18.94 (低於 20)，市場目前缺乏推升動能
   1525.TW                         江申    64.50      均線糾纏      MA5/10/20 乖離率僅 0.44%，移動平均線高度重合
   6239.TW                         力成   195.00      進入盤整    ADX 指標為 15.66 (低於 20)，市場目前缺乏推升動能
  4577.TWO                       達航科技   101.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00995A.TW                   主動中信台灣卓越    11.96      均線糾纏      MA5/10/20 乖離率僅 0.91%，移動平均線高度重合
   9907.TW                        統一實    18.65      均線糾纏      MA5/10/20 乖離率僅 0.41%，移動平均線高度重合
   6830.TW                         汎銓   514.00 離開盤整 (向上)   收盤價 514.00 強勢突破布林上軌 (503.42)，趨勢轉強
  00891.TW                    中信關鍵半導體    24.04      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
   3010.TW                         華立   119.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2886.TW                        兆豐金    38.95      均線糾纏      MA5/10/20 乖離率僅 0.17%，移動平均線高度重合
   2376.TW                         技嘉   232.00      均線糾纏      MA5/10/20 乖離率僅 0.82%，移動平均線高度重合
   5706.TW                         鳳凰    52.70      均線糾纏      MA5/10/20 乖離率僅 0.57%，移動平均線高度重合
  2640.TWO                        大車隊   188.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1419.TW                         新紡    62.40      均線糾纏      MA5/10/20 乖離率僅 0.76%，移動平均線高度重合
   6412.TW                         群電    73.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   4720.TW                         德淵    17.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6616.TWO                      特昇-KY     9.92      均線糾纏      MA5/10/20 乖離率僅 0.20%，移動平均線高度重合
   3019.TW                         亞光   123.00      均線糾纏      MA5/10/20 乖離率僅 1.43%，移動平均線高度重合
  3217.TWO                         優群   153.50      均線糾纏      MA5/10/20 乖離率僅 0.54%，移動平均線高度重合
   3545.TW                         敦泰    48.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3492.TWO                         長盛    23.30      均線糾纏      MA5/10/20 乖離率僅 0.93%，移動平均線高度重合
  6134.TWO                         萬旭    28.85      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4534.TWO                         慶騰    23.40      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6655.TW                         科定   128.00      均線糾纏      MA5/10/20 乖離率僅 0.43%，移動平均線高度重合
   6283.TW                         淳安    20.40      均線糾纏      MA5/10/20 乖離率僅 0.57%，移動平均線高度重合
   2458.TW                         義隆   127.50      均線糾纏      MA5/10/20 乖離率僅 1.41%，移動平均線高度重合
   1597.TW                         直得    86.50      進入盤整    ADX 指標為 15.70 (低於 20)，市場目前缺乏推升動能
  4113.TWO                         聯上    17.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4131.TWO                         浩泰    35.50      均線糾纏      MA5/10/20 乖離率僅 0.79%，移動平均線高度重合
   2432.TW                    倚天酷��-創    27.00      均線糾纏      MA5/10/20 乖離率僅 0.39%，移動平均線高度重合
  6462.TWO                         神盾   107.50      均線糾纏      MA5/10/20 乖離率僅 0.99%，移動平均線高度重合
  3687.TWO                        歐買尬    66.50      均線糾纏      MA5/10/20 乖離率僅 1.12%，移動平均線高度重合
  3147.TWO                         大綜   157.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4523.TWO                         永彰    29.85      進入盤整    ADX 指標為 11.19 (低於 20)，市場目前缺乏推升動能
 00665L.TW                  富邦�琤肭磪囓�2     9.59      均線糾纏      MA5/10/20 乖離率僅 1.41%，移動平均線高度重合
   2328.TW                         廣宇    45.00      均線糾纏      MA5/10/20 乖離率僅 0.80%，移動平均線高度重合
   9926.TW                         新海    49.65      均線糾纏      MA5/10/20 乖離率僅 0.79%，移動平均線高度重合
   6691.TW                       洋基工程   574.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1439.TW                         雋揚    27.35      均線糾纏      MA5/10/20 乖離率僅 0.39%，移動平均線高度重合
   4915.TW                         致伸    72.10      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
   0052.TW                       富邦科技    44.73      均線糾纏      MA5/10/20 乖離率僅 0.75%，移動平均線高度重合
 00670L.TW                 富邦NASDAQ正2   139.25      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6901.TW                       鑽石投資    14.00      進入盤整    ADX 指標為 16.80 (低於 20)，市場目前缺乏推升動能
   2241.TW                        艾姆勒    29.00      均線糾纏      MA5/10/20 乖離率僅 1.27%，移動平均線高度重合
   1447.TW                         力鵬     5.15      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1213.TW                         大飲     9.59      均線糾纏      MA5/10/20 乖離率僅 0.30%，移動平均線高度重合
  4702.TWO                        中美實    10.05      均線糾纏      MA5/10/20 乖離率僅 0.33%，移動平均線高度重合
   5234.TW                       達興材料   361.00      進入盤整     ADX 指標為 7.81 (低於 20)，市場目前缺乏推升動能
   3515.TW                         華擎   207.00      均線糾纏      MA5/10/20 乖離率僅 0.89%，移動平均線高度重合
  2740.TWO                         天蔥    37.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6967.TWO                       汎瑋材料    64.00      均線糾纏      MA5/10/20 乖離率僅 0.87%，移動平均線高度重合
   1805.TW                         寶徠    10.20      均線糾纏      MA5/10/20 乖離率僅 1.44%，移動平均線高度重合
   2634.TW                         漢翔    47.05      趨勢運行                    股價具備方向性，未達盤整過濾標準
  2237.TWO                       華德動能    30.65      均線糾纏      MA5/10/20 乖離率僅 0.24%，移動平均線高度重合
  5487.TWO                         通泰    27.95      均線糾纏      MA5/10/20 乖離率僅 0.08%，移動平均線高度重合
  00936.TW                   台新永續高息中小    17.50      均線糾纏      MA5/10/20 乖離率僅 0.24%，移動平均線高度重合
   6834.TW                       天二科技    31.95      均線糾纏      MA5/10/20 乖離率僅 1.01%，移動平均線高度重合
   2363.TW                         矽統    47.65      均線糾纏      MA5/10/20 乖離率僅 1.43%，移動平均線高度重合
 00996A.TW                   主動兆豐台灣豐收     9.91      資料不足                   缺少 MA5/10/20 指標數據
  6692.TWO                        進能服    30.60      均線糾纏      MA5/10/20 乖離率僅 0.14%，移動平均線高度重合
  8096.TWO                         擎亞    91.80      進入盤整    ADX 指標為 16.19 (低於 20)，市場目前缺乏推升動能
  6510.TWO                         精測  3355.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3645.TW                         達邁    73.10      均線糾纏      MA5/10/20 乖離率僅 1.24%，移動平均線高度重合
   2414.TW                         精技    43.05      均線糾纏      MA5/10/20 乖離率僅 0.26%，移動平均線高度重合
   7749.TW                      意騰-KY   360.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2355.TW                         敬鵬    52.80      趨勢運行                    股價具備方向性，未達盤整過濾標準
  00893.TW                    國泰智能電動車    33.23      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
  6907.TWO                     雅特力-KY   109.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2480.TW                        敦陽科   139.00      均線糾纏      MA5/10/20 乖離率僅 0.59%，移動平均線高度重合
  5450.TWO                         南良    14.50      均線糾纏      MA5/10/20 乖離率僅 0.39%，移動平均線高度重合
   2233.TW                         宇隆   225.50      均線糾纏      MA5/10/20 乖離率僅 0.35%，移動平均線高度重合
  4304.TWO                         勝昱    26.40      進入盤整    ADX 指標為 15.29 (低於 20)，市場目前缺乏推升動能
   2330.TW                        台積電  1855.00      均線糾纏      MA5/10/20 乖離率僅 0.80%，移動平均線高度重合
   2385.TW                         群光   120.00      均線糾纏      MA5/10/20 乖離率僅 0.55%，移動平均線高度重合
   1529.TW                       樂事綠能    23.50      進入盤整    ADX 指標為 12.66 (低於 20)，市場目前缺乏推升動能
00746B.TWO                    富邦A級公司債    36.15      均線糾纏      MA5/10/20 乖離率僅 0.17%，移動平均線高度重合
   1413.TW                         宏洲     9.84      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
   3004.TW                        豐達科   108.00      均線糾纏      MA5/10/20 乖離率僅 1.42%，移動平均線高度重合
   3296.TW                         勝德    21.95      均線糾纏      MA5/10/20 乖離率僅 0.44%，移動平均線高度重合
  3230.TWO                         錦明    40.00      均線糾纏      MA5/10/20 乖離率僅 0.07%，移動平均線高度重合
  6170.TWO                         統振    51.20      均線糾纏      MA5/10/20 乖離率僅 0.93%，移動平均線高度重合
  6727.TWO                       亞泰金屬   325.50      進入盤整    ADX 指標為 16.95 (低於 20)，市場目前缺乏推升動能
  3363.TWO                         上詮   605.00      進入盤整    ADX 指標為 17.26 (低於 20)，市場目前缺乏推升動能
  6121.TWO                         新普   347.50      均線糾纏      MA5/10/20 乖離率僅 0.42%，移動平均線高度重合
   6442.TW                         光聖  2030.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   8162.TW                     微矽電子-創    38.70      均線糾纏      MA5/10/20 乖離率僅 0.48%，移動平均線高度重合
   8081.TW                         致新   232.00      均線糾纏      MA5/10/20 乖離率僅 0.94%，移動平均線高度重合
  7747.TWO                       昕奇雲端   115.00      均線糾纏      MA5/10/20 乖離率僅 0.47%，移動平均線高度重合
   1727.TW                        中華化    49.25      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00886.TWO                     永豐美國科技    34.15      均線糾纏      MA5/10/20 乖離率僅 0.64%，移動平均線高度重合
   4943.TW                      康控-KY    10.90      進入盤整    ADX 指標為 19.31 (低於 20)，市場目前缺乏推升動能
   1587.TW                         吉茂    36.55      進入盤整    ADX 指標為 11.96 (低於 20)，市場目前缺乏推升動能
   2017.TW                        官田鋼     9.95      均線糾纏      MA5/10/20 乖離率僅 0.85%，移動平均線高度重合
   2645.TW                       長榮航太   148.50      進入盤整    ADX 指標為 17.11 (低於 20)，市場目前缺乏推升動能
   6534.TW                       正瀚-創    92.00 離開盤整 (向上)     收盤價 92.00 強勢突破布林上軌 (91.88)，趨勢轉強
 009816.TW                  凱基台灣TOP50    10.66      均線糾纏      MA5/10/20 乖離率僅 0.50%，移動平均線高度重合
   2912.TW                        統一超   225.50      均線糾纏      MA5/10/20 乖離率僅 0.97%，移動平均線高度重合
   6197.TW                        佳必琪   163.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6679.TWO                         鈺太   249.00      均線糾纏      MA5/10/20 乖離率僅 0.49%，移動平均線高度重合
   6944.TW                       兆聯實業   810.00      均線糾纏      MA5/10/20 乖離率僅 0.79%，移動平均線高度重合
   9110.TW                     越南控-DR     3.10      均線糾纏      MA5/10/20 乖離率僅 0.26%，移動平均線高度重合
  4950.TWO                       金耘國際    15.80      均線糾纏      MA5/10/20 乖離率僅 0.92%，移動平均線高度重合
   9914.TW                        美利達    65.50      均線糾纏      MA5/10/20 乖離率僅 1.39%，移動平均線高度重合
   2605.TW                         新興    41.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3652.TW                         精聯    26.90      均線糾纏      MA5/10/20 乖離率僅 0.25%，移動平均線高度重合
  3162.TWO                         精確    57.70      均線糾纏      MA5/10/20 乖離率僅 0.31%，移動平均線高度重合
  6874.TWO                         倍力    87.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   4935.TW                      茂林-KY    36.20      均線糾纏      MA5/10/20 乖離率僅 0.95%，移動平均線高度重合
  7703.TWO                         銳澤   215.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3491.TWO                        昇達科  1495.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
00857B.TWO                   永豐20年美公債    23.71      均線糾纏      MA5/10/20 乖離率僅 0.21%，移動平均線高度重合
   1436.TW                        華友聯    54.00      均線糾纏      MA5/10/20 乖離率僅 0.32%，移動平均線高度重合
  5864.TWO                        致和證    23.85      均線糾纏      MA5/10/20 乖離率僅 0.89%，移動平均線高度重合
   1215.TW                         卜蜂   138.50      進入盤整    ADX 指標為 14.40 (低於 20)，市場目前缺乏推升動能
  5016.TWO                         松和    31.40 離開盤整 (向上)     收盤價 31.40 強勢突破布林上軌 (29.98)，趨勢轉強
  6785.TWO                       昱展新藥   172.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1708.TW                         東鹼    42.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6603.TWO                        富強鑫    21.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3483.TWO                         力致    77.00      進入盤整    ADX 指標為 17.42 (低於 20)，市場目前缺乏推升動能
   2915.TW                        潤泰全    48.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
   7730.TW                       暉盛-創   166.00      進入盤整    ADX 指標為 15.02 (低於 20)，市場目前缺乏推升動能
  6274.TWO                         台燿   623.00      進入盤整    ADX 指標為 10.15 (低於 20)，市場目前缺乏推升動能
   8210.TW                         勤誠   899.00      均線糾纏      MA5/10/20 乖離率僅 0.03%，移動平均線高度重合
   2613.TW                         中櫃    23.45      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2547.TW                        日勝生    10.55      均線糾纏      MA5/10/20 乖離率僅 1.27%，移動平均線高度重合
  8183.TWO                         精星    32.55      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00656R.TW                  國泰中國A50反1     6.24      均線糾纏      MA5/10/20 乖離率僅 0.16%，移動平均線高度重合
  8277.TWO                         商丞     7.98      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2399.TW                         映泰    31.85      趨勢運行                    股價具備方向性，未達盤整過濾標準
  4105.TWO                         東洋    74.00      均線糾纏      MA5/10/20 乖離率僅 1.13%，移動平均線高度重合
  4767.TWO                       誠泰科技    25.30      均線糾纏      MA5/10/20 乖離率僅 0.17%，移動平均線高度重合
   2820.TW                         華票    16.80      均線糾纏      MA5/10/20 乖離率僅 0.22%，移動平均線高度重合
   3042.TW                         晶技    93.90      均線糾纏      MA5/10/20 乖離率僅 0.20%，移動平均線高度重合
   1563.TW                         巧新    42.10      均線糾纏      MA5/10/20 乖離率僅 0.75%，移動平均線高度重合
   4934.TW                         太極    16.65      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6227.TWO                         茂綸    93.30      均線糾纏      MA5/10/20 乖離率僅 1.48%，移動平均線高度重合
  3228.TWO                        金麗科   135.00      均線糾纏      MA5/10/20 乖離率僅 1.26%，移動平均線高度重合
00772B.TWO                   中信高評級公司債    34.08      均線糾纏      MA5/10/20 乖離率僅 0.15%，移動平均線高度重合
   2424.TW                         隴華    25.60      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6270.TWO                         倍微    24.75      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8927.TWO                         北基    23.55      均線糾纏      MA5/10/20 乖離率僅 0.95%，移動平均線高度重合
   6271.TW                        同欣電   149.00      均線糾纏      MA5/10/20 乖離率僅 0.97%，移動平均線高度重合
   2441.TW                         超豐    88.40      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00992A.TW                   主動群益科技創新    13.22      均線糾纏      MA5/10/20 乖離率僅 1.15%，移動平均線高度重合
   8464.TW                         億豐   346.00      進入盤整    ADX 指標為 13.90 (低於 20)，市場目前缺乏推升動能
   2442.TW                        新美齊    20.85      均線糾纏      MA5/10/20 乖離率僅 0.81%，移動平均線高度重合
   3257.TW                        虹冠電    53.50      均線糾纏      MA5/10/20 乖離率僅 1.21%，移動平均線高度重合
   5244.TW                         弘凱    38.95      進入盤整    ADX 指標為 19.65 (低於 20)，市場目前缺乏推升動能
  00915.TW                  凱基優選高股息30    23.27      均線糾纏      MA5/10/20 乖離率僅 0.04%，移動平均線高度重合
   8021.TW                         尖點   248.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6929.TWO                         佑全    30.90      均線糾纏      MA5/10/20 乖離率僅 0.76%，移動平均線高度重合
  4745.TWO                      合富-KY    19.50      均線糾纏      MA5/10/20 乖離率僅 0.99%，移動平均線高度重合
  5381.TWO                         合正    26.47      趨勢運行                    股價具備方向性，未達盤整過濾標準
   7780.TW                      大研生醫*    20.25      趨勢運行                    股價具備方向性，未達盤整過濾標準
00780B.TWO                    國泰A級金融債    37.92      均線糾纏      MA5/10/20 乖離率僅 0.15%，移動平均線高度重合
  4128.TWO                         中天    17.30      均線糾纏      MA5/10/20 乖離率僅 0.66%，移動平均線高度重合
 00671R.TW                 富邦NASDAQ反1     3.02      均線糾纏      MA5/10/20 乖離率僅 1.22%，移動平均線高度重合
  6565.TWO                         物聯    19.20      趨勢運行                    股價具備方向性，未達盤整過濾標準
  8067.TWO                         志旭    13.80      均線糾纏      MA5/10/20 乖離率僅 0.60%，移動平均線高度重合
   8070.TW                        長華*    43.35      均線糾纏      MA5/10/20 乖離率僅 0.70%，移動平均線高度重合
   1905.TW                         華紙    16.70      趨勢運行                    股價具備方向性，未達盤整過濾標準
   1456.TW                         怡華    14.95      進入盤整    ADX 指標為 11.09 (低於 20)，市場目前缺乏推升動能
  6662.TWO                        樂斯科    28.80      均線糾纏      MA5/10/20 乖離率僅 0.61%，移動平均線高度重合
   1402.TW                        遠東新    27.15      均線糾纏      MA5/10/20 乖離率僅 1.28%，移動平均線高度重合
   1313.TW                         聯成    12.55      均線糾纏      MA5/10/20 乖離率僅 0.35%，移動平均線高度重合
  3349.TWO                         寶德    27.70      均線糾纏      MA5/10/20 乖離率僅 1.38%，移動平均線高度重合
   3450.TW                         聯鈞   247.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6629.TWO                      泰金-KY   106.00      均線糾纏      MA5/10/20 乖離率僅 0.48%，移動平均線高度重合
   3003.TW                        健和興    49.85      均線糾纏      MA5/10/20 乖離率僅 0.27%，移動平均線高度重合
 00688L.TW                  國泰20年美債正2     7.13      均線糾纏      MA5/10/20 乖離率僅 0.76%，移動平均線高度重合
   4555.TW                         氣立    35.45      均線糾纏      MA5/10/20 乖離率僅 0.54%，移動平均線高度重合
  6584.TWO                       南俊國際   610.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2444.TW                         兆勁    12.30      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2323.TW                         中環    11.05      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2368.TW                        金像電   946.00      進入盤整    ADX 指標為 14.66 (低於 20)，市場目前缺乏推升動能
   1476.TW                         儒鴻   331.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3058.TW                         立德     9.50      均線糾纏      MA5/10/20 乖離率僅 0.74%，移動平均線高度重合
   9933.TW                         中鼎    35.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6277.TW                         宏正    72.20 離開盤整 (向上)     收盤價 72.20 強勢突破布林上軌 (71.60)，趨勢轉強
  5245.TWO                         智晶    25.00      均線糾纏      MA5/10/20 乖離率僅 1.15%，移動平均線高度重合
   5607.TW                        遠雄港    45.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6152.TW                         百一    16.05      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6237.TWO                         驊訊    35.55      均線糾纏      MA5/10/20 乖離率僅 1.08%，移動平均線高度重合
  3689.TWO                         湧德   112.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2476.TW                         鉅祥    84.40      均線糾纏      MA5/10/20 乖離率僅 1.42%，移動平均線高度重合
  3354.TWO                         律勝    24.40      趨勢運行                    股價具備方向性，未達盤整過濾標準
   2890.TW                        永豐金    31.70      均線糾纏      MA5/10/20 乖離率僅 0.36%，移動平均線高度重合
   2486.TW                         一詮   145.00      均線糾纏      MA5/10/20 乖離率僅 1.12%，移動平均線高度重合
  7712.TWO                      博盛半導體   107.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  2066.TWO                         世德    49.10      均線糾纏      MA5/10/20 乖離率僅 0.75%，移動平均線高度重合
   2454.TW                        聯發科  1465.00      進入盤整    ADX 指標為 17.24 (低於 20)，市場目前缺乏推升動能
   6226.TW                         光鼎    12.90      趨勢運行                    股價具備方向性，未達盤整過濾標準
  5905.TWO                        南仁湖     7.82      均線糾纏      MA5/10/20 乖離率僅 1.32%，移動平均線高度重合
  6664.TWO                         群翊   322.50      進入盤整    ADX 指標為 19.84 (低於 20)，市場目前缺乏推升動能
  00875.TW                     國泰網路資安    37.93      均線糾纏      MA5/10/20 乖離率僅 0.55%，移動平均線高度重合
   6257.TW                         矽格   156.00 離開盤整 (向上)   收盤價 156.00 強勢突破布林上軌 (154.06)，趨勢轉強
00867B.TWO                 新光A-BBB電信債    31.72      均線糾纏      MA5/10/20 乖離率僅 0.28%，移動平均線高度重合
   2617.TW                         台航    30.50      均線糾纏      MA5/10/20 乖離率僅 1.49%，移動平均線高度重合
   6414.TW                         樺漢   274.50      均線糾纏      MA5/10/20 乖離率僅 0.41%，移動平均線高度重合
  1569.TWO                         濱川    50.00      均線糾纏      MA5/10/20 乖離率僅 0.87%，移動平均線高度重合
   4739.TW                         康普    78.10      趨勢運行                    股價具備方向性，未達盤整過濾標準
  6233.TWO                         旺玖    25.30      進入盤整    ADX 指標為 13.72 (低於 20)，市場目前缺乏推升動能
 00990A.TW                  主動元大AI新經濟    11.81      均線糾纏      MA5/10/20 乖離率僅 0.67%，移動平均線高度重合
   2482.TW                         連宇    16.80      均線糾纏      MA5/10/20 乖離率僅 1.29%，移動平均線高度重合
   6869.TW                       雲豹能源    88.90      進入盤整    ADX 指標為 16.47 (低於 20)，市場目前缺乏推升動能
00687B.TWO                    國泰20年美債    28.48      均線糾纏      MA5/10/20 乖離率僅 0.23%，移動平均線高度重合
   3168.TW                        眾福科    40.85      均線糾纏      MA5/10/20 乖離率僅 0.07%，移動平均線高度重合
  00935.TW                  野村臺灣新科技50    37.46      均線糾纏      MA5/10/20 乖離率僅 0.31%，移動平均線高度重合
   2236.TW                      百達-KY   112.00      均線糾纏      MA5/10/20 乖離率僅 0.93%，移動平均線高度重合
   1225.TW                        福懋油    31.65      均線糾纏      MA5/10/20 乖離率僅 0.30%，移動平均線高度重合
  6465.TWO                         威潤    45.25      進入盤整    ADX 指標為 14.07 (低於 20)，市場目前缺乏推升動能
  4804.TWO                      大略-KY     6.12      趨勢運行                    股價具備方向性，未達盤整過濾標準
 00877.TWO                     復華中國5G    27.81      均線糾纏      MA5/10/20 乖離率僅 0.42%，移動平均線高度重合
   2380.TW                         虹光     5.86      進入盤整    ADX 指標為 19.01 (低於 20)，市場目前缺乏推升動能
  3176.TWO                         基亞    31.95      趨勢運行                    股價具備方向性，未達盤整過濾標準
   6206.TW                         飛捷    98.70      均線糾纏      MA5/10/20 乖離率僅 0.34%，移動平均線高度重合
   2852.TW                        第一保    25.95      均線糾纏      MA5/10/20 乖離率僅 0.69%，移動平均線高度重合
   6862.TW                     三集瑞-KY   161.50      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3026.TW                        禾伸堂   142.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
   3617.TW                         碩天   171.50      均線糾纏      MA5/10/20 乖離率僅 1.36%，移動平均線高度重合
   4576.TW                      大銀微系統   131.50      進入盤整    ADX 指標為 18.62 (低於 20)，市場目前缺乏推升動能
  3178.TWO                         公準    62.10 離開盤整 (向上)     收盤價 62.10 強勢突破布林上軌 (60.66)，趨勢轉強
  8043.TWO                        蜜望實    68.00      均線糾纏      MA5/10/20 乖離率僅 0.83%，移動平均線高度重合
   4590.TW                       富田-創    74.30      均線糾纏      MA5/10/20 乖離率僅 0.49%，移動平均線高度重合
   2338.TW                         光罩    43.45      進入盤整    ADX 指標為 12.55 (低於 20)，市場目前缺乏推升動能
   2501.TW                         國建    22.60      均線糾纏      MA5/10/20 乖離率僅 0.57%，移動平均線高度重合
   2597.TW                         潤弘   152.00      趨勢運行                    股價具備方向性，未達盤整過濾標準
  3374.TWO                         精材   159.50      進入盤整    ADX 指標為 10.07 (低於 20)，市場目前缺乏推升動能
  8086.TWO                        宏捷科   123.00      均線糾纏      MA5/10/20 乖離率僅 1.36%，移動平均線高度重合
   5907.TW                      大洋-KY     5.77      均線糾纏      MA5/10/20 乖離率僅 0.11%，移動平均線高度重合
  8147.TWO                         正淩   133.00      均線糾纏      MA5/10/20 乖離率僅 1.45%，移動平均線高度重合
   6757.TW                       台灣虎航    50.60      均線糾纏      MA5/10/20 乖離率僅 1.24%，移動平均線高度重合
00725B.TWO                   國泰投資級公司債    35.54      均線糾纏      MA5/10/20 乖離率僅 0.14%，移動平均線高度重合
   6792.TW                         詠業    55.30      均線糾纏      MA5/10/20 乖離率僅 0.77%，移動平均線高度重合
   6722.TW                         輝創    39.85      均線糾纏      MA5/10/20 乖離率僅 0.51%，移動平均線高度重合
   9908.TW                        大台北    29.85      均線糾纏      MA5/10/20 乖離率僅 0.87%，移動平均線高度重合
     ^TWII                    Unknown 33174.82      均線糾纏      MA5/10/20 乖離率僅 0.56%，移動平均線高度重合
  3580.TWO                        友威科    69.70      均線糾纏      MA5/10/20 乖離率僅 0.96%，移動平均線高度重合
  6292.TWO                         迅德    46.50      進入盤整    ADX 指標為 15.78 (低於 20)，市場目前缺乏推升動能
   2855.TW                        統一證    32.55      均線糾纏      MA5/10/20 乖離率僅 1.20%，移動平均線高度重合
   3032.TW                         偉訓    63.30      均線糾纏      MA5/10/20 乖離率僅 0.41%，移動平均線高度重合
